app_ad_group,info
audit_qrtz_simprop_triggers,SCHED_NAME
audit_qrtz_simprop_triggers,STR_PROP_1
audit_qrtz_simprop_triggers,STR_PROP_2
audit_qrtz_simprop_triggers,STR_PROP_3
audit_qrtz_simprop_triggers,TRIGGER_GROUP
audit_qrtz_simprop_triggers,TRIGGER_NAME
audit_qrtz_triggers,CALENDAR_NAME
audit_qrtz_triggers,DESCRIPTION
audit_qrtz_triggers,END_TIME
audit_qrtz_triggers,JOB_DATA
audit_qrtz_triggers,JOB_GROUP
audit_qrtz_triggers,JOB_NAME
audit_qrtz_triggers,MISFIRE_INSTR
audit_qrtz_triggers,NEXT_FIRE_TIME
audit_qrtz_triggers,PREV_FIRE_TIME
audit_qrtz_triggers,PRIORITY
audit_qrtz_triggers,SCHED_NAME
audit_qrtz_triggers,START_TIME
audit_qrtz_triggers,TRIGGER_GROUP
audit_qrtz_triggers,TRIGGER_NAME
audit_qrtz_triggers,TRIGGER_STATE
audit_qrtz_triggers,TRIGGER_TYPE
audit_report_datasource,id
audit_report_param,id
audit_schema_config,id
audit_self_bind_settings,action
audit_self_bind_settings,app_version
audit_self_bind_settings,c_ip
audit_self_bind_settings,geo_city
audit_self_bind_settings,geo_country_long
audit_self_bind_settings,geo_latitude
audit_self_bind_settings,geo_longitude
audit_self_bind_settings,geo_region
audit_self_bind_settings,http_req
audit_self_bind_settings,log_id
audit_self_bind_settings,module
audit_self_bind_settings,operator
audit_self_bind_settings,receiver
audit_self_bind_settings,rel_obj_name
audit_self_bind_settings,retrieve_type
audit_self_bind_settings,s_ip
audit_self_bind_settings,tag
audit_self_bind_settings,time
audit_self_bind_settings,uid
audit_self_bind_settings,user_id
audit_self_bind_settings,user_name
audit_self_bind_settings,user_uid
audit_self_bind_settings,verify_result
audit_self_pwd_mgmt,action
audit_self_pwd_mgmt,app_version
audit_self_pwd_mgmt,c_ip
audit_self_pwd_mgmt,geo_city
audit_self_pwd_mgmt,geo_country_long
audit_self_pwd_mgmt,geo_latitude
audit_self_pwd_mgmt,geo_longitude
audit_self_pwd_mgmt,geo_region
audit_self_pwd_mgmt,http_req
audit_self_pwd_mgmt,log_id
audit_self_pwd_mgmt,module
audit_self_pwd_mgmt,operator
audit_self_pwd_mgmt,rel_obj_name
audit_self_pwd_mgmt,remark
